Date,Description,Amount
2023-10-01,CARD AMAZON MARKETPLACE,-42.99
2023-10-01,CARD AMAZON MARKETPLACE,-19.90
2023-10-01,SEPA ACME SAS INV 4587,-542.24
2023-10-01,CARD SPOTIFY,-10.99
2023-10-01,CARD STARBUCKS,-6.80
2023-10-02,BANK FEES MONTHLY,-3.20
2023-10-02,CARD CARREFOUR CITY,-18.50
2023-10-02,CARD FNAC,-89.99
2023-10-02,SEPA PHONE BILL,-24.99
2023-10-03,SALARY OCTOBER,2500.00
2023-10-03,SEPA RENT OCTOBER,-950.00
2023-10-03,CARD UBER TRIP,-12.30
2023-10-03,CARD UBER TRIP,-12.30
2023-10-03,CARD LUNCH,-14.60
2023-10-04,CARD DECATHLON,-120.00
2023-10-04,SEPA INSURANCE PREMIUM,-76.49
2023-10-04,CARD AMAZON MARKETPLACE,-42.99
2023-10-04,CARD PHARMACY,-23.40
2023-10-05,SEPA ELECTRICITY BILL,-123.45
2023-10-05,CARD NETFLIX,-15.99
2023-10-05,TRANSFER TO SAVINGS,-300.00
2023-10-05,CARD RESTAURANT LE PARC,-58.40
2023-10-06,ATM WITHDRAWAL,-100.00
2023-10-06,CARD LEROY MERLIN,-34.95
2023-10-06,CARD GAS STATION,-62.10
2023-10-06,CARD AMAZON MARKETPLACE,-7.99
2023-10-07,SEPA TAX PAYMENT,-410.00
2023-10-07,CARD BAKERY,-4.20
2023-10-07,CARD CINEMA,-15.00
2023-10-07,CARD CINEMA,-15.00
2023-10-08,CARD IKEA,-210.30
2023-10-08,SEPA ACME SAS INV 4599,-525.38
2023-10-08,BANK FEES CARD,-1.50
2023-10-08,CARD BOOKSTORE,-22.70
2023-10-09,CARD AMAZON MARKETPLACE,-42.99
2023-10-09,CARD AMAZON MARKETPLACE,-29.95
2023-10-09,SEPA WATER BILL,-31.20
2023-10-09,CARD PARKING,-2.50
2023-10-10,CARD AMAZON MARKETPLACE,-12.49
2023-10-10,CARD H&M,-55.00
2023-10-10,CARD UBER TRIP,-9.80
2023-10-10,CARD UBER TRIP,-9.80
2023-10-10,CARD COFFEE,-3.10
2023-10-11,SEPA GYM MEMBERSHIP,-35.00
2023-10-11,CARD APP STORE,-2.99
2023-10-11,CARD APP STORE,-2.99
2023-10-11,CARD RESTAURANT,-44.20
2023-10-12,SEPA INTERNET PROVIDER,-39.99
2023-10-12,CARD TRAIN TICKET,-78.60
2023-10-12,CARD TRAIN TICKET,-78.60
2023-10-12,CARD GROCERIES,-36.75
2023-10-13,CARD AMAZON MARKETPLACE,-15.49
2023-10-13,CARD AMAZON MARKETPLACE,-15.49
2023-10-13,CARD SPORT SHOP,-64.00
2023-10-13,SEPA CHARITY DONATION,-20.00
2023-10-14,TRANSFER FROM SAVINGS,300.00
2023-10-14,CARD RESTAURANT,-32.10
2023-10-14,CARD RESTAURANT,-32.10
2023-10-14,CARD HOTEL,-180.00
2023-10-15,CARD FLIGHT,-220.00
2023-10-15,CARD TAXI,-28.70
2023-10-15,SEPA SUBSCRIPTION,-8.99
2023-10-16,CARD SUPERMARKET,-41.20
2023-10-16,CARD SUPERMARKET,-41.20
2023-10-16,SEPA ACME SAS INV 4601,-510.00
2023-10-17,CARD AMAZON MARKETPLACE,-42.99
2023-10-17,CARD AMAZON MARKETPLACE,-42.99
2023-10-17,BANK FEES TRANSFER,-0.80
2023-10-18,SEPA LOAN PAYMENT,-320.50
2023-10-18,CARD PHARMACY,-11.30
2023-10-19,CARD ELECTRONICS,-199.90
2023-10-19,SEPA SALARY ADJUSTMENT,120.00
2023-10-20,CARD MUSEUM,-12.00
